subfolder,luminance,contrast,image_path,grey_image_path
anger,202.21875162057043,42.869499105822996,./Data/Processed/Resized\image_0.png,./Data/Processed/Resized\grey_image_0.png
anger,134.19662210641593,101.30313487026716,./Data/Processed/Resized\image_1.png,./Data/Processed/Resized\grey_image_1.png
anger,109.14420859719164,51.43321504032981,./Data/Processed/Resized\image_2.png,./Data/Processed/Resized\grey_image_2.png
anger,140.26170187654904,89.33835453601392,./Data/Processed/Resized\image_3.png,./Data/Processed/Resized\grey_image_3.png
anger,143.85270143487858,81.43423415509174,./Data/Processed/Resized\image_4.png,./Data/Processed/Resized\grey_image_4.png
anger,145.7541440831075,52.036701398601075,./Data/Processed/Resized\image_5.png,./Data/Processed/Resized\grey_image_5.png
anger,161.95892420537896,73.34338442491395,./Data/Processed/Resized\image_6.png,./Data/Processed/Resized\grey_image_6.png
anger,147.00330578512396,86.28856885402188,./Data/Processed/Resized\image_7.png,./Data/Processed/Resized\grey_image_7.png
anger,115.22843055726179,54.00539907586454,./Data/Processed/Resized\image_8.png,./Data/Processed/Resized\grey_image_8.png
anger,113.91690346083789,62.83980774482033,./Data/Processed/Resized\image_9.png,./Data/Processed/Resized\grey_image_9.png
anger,141.01832174559448,83.97385130539273,./Data/Processed/Resized\image_10.png,./Data/Processed/Resized\grey_image_10.png
anger,184.8374989827474,69.74127876531524,./Data/Processed/Resized\image_11.png,./Data/Processed/Resized\grey_image_11.png
anger,151.14113461538463,65.20092588564815,./Data/Processed/Resized\image_12.png,./Data/Processed/Resized\grey_image_12.png
anger,105.03175132275132,71.53188383198024,./Data/Processed/Resized\image_13.png,./Data/Processed/Resized\grey_image_13.png
anger,123.38351145038168,72.22375466522317,./Data/Processed/Resized\image_14.png,./Data/Processed/Resized\grey_image_14.png
anger,69.17631325301205,57.305427930199755,./Data/Processed/Resized\image_15.png,./Data/Processed/Resized\grey_image_15.png
anger,203.73514138312686,60.50205837690995,./Data/Processed/Resized\image_16.png,./Data/Processed/Resized\grey_image_16.png
anger,157.8979604261796,65.0753415280149,./Data/Processed/Resized\image_17.png,./Data/Processed/Resized\grey_image_17.png
anger,172.95476162790698,90.38219101952382,./Data/Processed/Resized\image_18.png,./Data/Processed/Resized\grey_image_18.png
anger,38.413259817105974,46.17947140108993,./Data/Processed/Resized\image_19.png,./Data/Processed/Resized\grey_image_19.png
